alert_id,timestamp,site_code,device_type,severity,summary,status
ALERT-001,2026-05-01 08:02:00,TEST_SITE_018,server,high,database query latency spike in performance test [Contact: Nguyen Van A (0987654321)],open
ALERT-002,2026-05-01 21:16:00,TEST_SITE_009,switch,low,interface flap in synthetic log,open
ALERT-003,2026-05-01 23:59:00,TEST_SITE_026,server,high,unauthorized login attempt simulated in audit log,resolved
ALERT-004,2026-05-01 21:35:00,TEST_SITE_010,server,low,disk space low on simulated system drive,in-progress
ALERT-005,2026-05-01 22:56:00,TEST_SITE_004,firewall,high,session table capacity warning (simulated),in-progress
ALERT-006,2026-05-02 01:25:00,TEST_SITE_010,base-station,low,RF module communication failure in lab environment,in-progress
ALERT-007,2026-05-01 10:31:00,TEST_SITE_018,ups,high,communication failure with network card in test,open
ALERT-008,2026-05-01 21:37:00,TEST_SITE_027,base-station,low,power backup warning in training scenario,resolved
ALERT-009,2026-05-01 21:52:00,TEST_SITE_012,base-station,high,RF module communication failure in lab environment [Assigned to: Nguyen Hoang E (0912345678)],open
ALERT-010,2026-05-01 15:21:00,TEST_SITE_022,ups,medium,communication failure with network card in test,resolved
ALERT-011,2026-05-01 11:56:00,TEST_SITE_008,ups,low,bypass mode activated for maintenance demo,resolved
ALERT-012,2026-05-01 09:50:00,TEST_SITE_023,router,medium,packet loss above simulated threshold on uplink,in-progress
ALERT-013,2026-05-01 18:03:00,TEST_SITE_020,firewall,medium,high memory usage alert on training cluster [Contact: Nguyen Van A (0987654321)],in-progress
ALERT-014,2026-05-01 14:22:00,TEST_SITE_020,server,medium,disk space low on simulated system drive,in-progress
ALERT-015,2026-05-01 11:50:00,TEST_SITE_026,firewall,medium,session table capacity warning (simulated),open
ALERT-016,2026-05-01 21:54:00,TEST_SITE_005,router,low,packet loss above simulated threshold on uplink,resolved
ALERT-017,2026-05-01 16:32:00,TEST_SITE_011,ups,critical,communication failure with network card in test,in-progress
ALERT-018,2026-05-01 17:53:00,TEST_SITE_019,base-station,low,RF module communication failure in lab environment,open
ALERT-019,2026-05-01 09:24:00,TEST_SITE_010,firewall,medium,security policy update failed in sandbox,resolved
ALERT-020,2026-05-02 02:45:00,TEST_SITE_006,server,medium,unauthorized login attempt simulated in audit log,in-progress
ALERT-021,2026-05-02 01:48:00,TEST_SITE_005,router,low,OSPF adjacency loss in training network,open
ALERT-022,2026-05-02 00:59:00,TEST_SITE_022,server,medium,database query latency spike in performance test [Contact: Tran Thi B (tran.b@vtn.com.vn)],open
ALERT-023,2026-05-01 09:14:00,TEST_SITE_027,base-station,medium,clock synchronization out of bounds (simulated),open
ALERT-024,2026-05-01 17:41:00,TEST_SITE_026,switch,low,spanning tree topology change detected,in-progress
ALERT-025,2026-05-01 16:18:00,TEST_SITE_004,switch,high,interface flap in synthetic log [Contact: Tran Thi B (tran.b@vtn.com.vn)],open
ALERT-026,2026-05-01 18:35:00,TEST_SITE_001,switch,high,high broadcast traffic detected in lab subnet,in-progress
ALERT-027,2026-05-01 19:37:00,TEST_SITE_013,ups,medium,bypass mode activated for maintenance demo,in-progress
